id;date;A2_statut;A2_autre;A3_poste;A4_secteur;A4_secteur_autre;A5_teleravail;A6_experience;B1_utilisation_python;B1_utilisation_r;B1_utilisation_sas;B1_utilisation_powerBI;B1_utilisation_tableau;B1_utilisation_qlik;B1_utilisation_excel;B1_utilisation_sql;B1_utilisation_spark;B1_utilisation_spss;B1_utilisation_c_java;B1_utilisation_datastudio;B1_utilisation_matlab;B1_utilisation_aucun;B2_frequence_utilisation_python;B2_frequence_utilisation_r;B2_frequence_utilisation_sas;B2_frequence_utilisation_powerBI;B2_frequence_utilisation_tableau;B2_frequence_utilisation_qlik;B2_frequence_utilisation_excel;B2_frequence_utilisation_sql;B2_frequence_utilisation_spark;B2_frequence_utilisation_spss;B2_frequence_utilisation_c_java;B2_frequence_utilisation_datastudio;B2_frequence_utilisation_matlab;D1_satisfaction;Y1A_genre;Y1B_age;Y4_diplome;Y2_region
5;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
6;06/03/2024 09:20;En CDI;;Autre;Marketing;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;8;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Régulièrement;;;Régulièrement;Régulièrement;Occasionnellement;Régulièrement;Occasionnellement;Occasionnellement;Occasionnellement;;;;7;Un homme;29;Bac + 5;Auvergne-Rhône-Alpes
7;06/03/2024 10:02;Indépendant / freelance;;Data Analyst / analyste;Banques / assurances / finances;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;23;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Jamais;;Régulièrement;Occasionnellement;Jamais;Jamais;Régulièrement;Régulièrement;;;;;;7;Une femme;46;Bac + 5;Bretagne
8;06/03/2024 10:09;Etudiant (hors alternance / stage);;;;;;;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Occasionnellement;Régulièrement;;Occasionnellement;Occasionnellement;;Régulièrement;Régulièrement;;Jamais;;;;;Un homme;24;Bac + 2 / 3;Bretagne
9;06/03/2024 10:10;Indépendant / freelance;;Data Scientist;Prestation de services informatiques / statistiques;;Distanciel complet (pas de travail sur site);15;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Régulièrement;Régulièrement;;;;;Régulièrement;Occasionnellement;;;Jamais;;;7;Un homme;46;Bac + 8;Nouvelle-Aquitaine
10;;En CDD / contrat court / alternance / stage;;Data Scientist;Administration;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
11;06/03/2024 10:44;En CDI;;Chargé d’études / chargé d’études statistiques;Autre;BTP;Présentiel complet (pas ou quasiment pas de travail à distance);1;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Jamais;Jamais;Jamais;;Jamais;;Régulièrement;Jamais;;;;;;7;Un homme;21;Bac + 2 / 3;Grand Est
12;06/03/2024 10:45;En recherche d'emploi;;;;;;;Non;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;Occasionnellement;;Régulièrement;Régulièrement;;Régulièrement;Occasionnellement;;;;;;;Un homme;23;Niveau Bac;Hors France
13;;En CDI;;Autre;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;;;Régulièrement;;;Occasionnellement;Régulièrement;;;;;;;;;;
14;;Indépendant / freelance;;Autre;Banques / assurances / finances;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;12;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Occasionnellement;;;Régulièrement;Jamais;Occasionnellement;Occasionnellement;Occasionnellement;;;;;;;;;;
